,cleaned_body,compound_score,pos_score,neu_score,neg_score
0,newer aircraft leg room awful seat comfortable seat maximization mean gave away even little comfort passenger,0.3626,0.256,0.604,0.139
1,check easy boarding zone think paid check kg luggage good seat together two small people either side issue plane left minute late due technical issue given flight hour pretty annoying many people,0.743,0.227,0.705,0.068
2,solid experience start finish especially given cheap ticket price checkin easy even though made error go checkin counter first line handled second bought package covered checked luggage gave seat front priority boarding zone unexpected bonus plane left arrived time seat exactly spacious fortunate enough seat lady aisle slept entire journey seat reclined enough relax enough intrusive tried tapping screen seat front realised shiny advertisement duh cabin covered bother food drink never budget airline looked pretty standard fare unreasonably priced luggage came reasonably quickly penang airport,0.8979,0.172,0.777,0.051
3,discovered upon boarding four year old allocated different seat apart although bought ticket time booking reference checked together airasia split u shocked tried speak flight attendant lovely enough say absurd split family much passenger already paid selecting seat swap seat four year old upset cry able see seated separately time long planned father trip wondering implication safety case emergency think separately seated parent like would ignore evacuation procedure desperate attempt child think little child need seat adjacent seat accompanying family member seating apart four year old left bitter taste mouth needle say happy situation,-0.5267,0.113,0.726,0.161
4,got seat near emergency exit different standard seat plane space relatively good got enough space landing leg try recline disturb passenger behind seat pocket contained food menu promotional material safety instruction card low cost flight good enough,0.296,0.183,0.66,0.157
5,seat pitch tight still survivable hour flight seat width standard like leather seat cover recline standard well consider airasia low cost airline expect much deliver alot,0.3612,0.155,0.774,0.071
6,seat uncomfortable space seat poor hard time sitting seat without knee hitting seat front occasion wife seated apart flight took multiple people scrambling around trying trade seat next friend loved one course pay pre selecting seat budget airline,0.1531,0.149,0.672,0.179
7,good choose airasia flight le hour distance seat space leg small put bag seat reluctantly leg cannot move hard straighten leg throughout journey flight hour inconvenient passenger seat inside wanted go toilet hard go seat need annoy passenger seated middle near walkway,-0.2978,0.114,0.747,0.139
8,allocated seat airasia flight ak nov kuala banda aceh seat tight tall person like tolerable flight time minute longer flight would definitely pay extra emergency exit seat privilege extra comfort,0.7351,0.267,0.628,0.105
9,seat recline notice great hate someone tilt seat back entire journey leaving cramped seat seat basic meal tray studded advertisement least colourful sufficient legroom comfortable legroom seems much provided rival airline jetstar power outlet sure foot rest notice seat plastic covered bit cloth head seat pocket crammed promotional material safety card,0.8316,0.201,0.74,0.059
10,foot tall big western standard expected comfort find seat recline sleep stretch leg aisle due legroom foot running trolley standard seat pitch airasia inch short haul aircraft,0.3612,0.088,0.912,0.0
11,seat tui boeing good using time long short haul flew jamaica seat get bit cramped expected really time tv acceptable biggest job acceptable amount content recline pretty average overall tui economy seat average quality work great,0.9363,0.331,0.669,0.0
12,seat firm hard good sleep able departure time seat said lie flat think hard sleep complete lie flat position blanket provided ask pillow flight set last row reserved cabin crew use rest area reduces amount noise around seat seated increase privacy seat longest widest making hard stretch sleep fetal position step neighbour happen lie flat position painful time snack bag provided hot meal tasted pretty good ife screen lagged lot barely option watch ife screen recommend carrying entertainment device headphone terrible recommend carrying recommend flight unless ae suitable option,0.8807,0.198,0.688,0.114
13,fairly typical layout business class boeing seat made fabric comfortable adjust firmness seat massage feature fairly basic though sandwich provided hour flight hyderabad delhi reasonable considering duration flight fact trip covid pandemic seat comfortable wide enough expect good sleep minor inconvenience would step neighbour happen nice flight,0.8689,0.217,0.739,0.044
14,seat generally clean good form leg room seat width little restricted average sized guy surely people know little larger would definitely taxing experience,0.8238,0.35,0.576,0.074
15,boeing seat comfortable nice interior leg space good large overhead ife good movie tv show screen big picture quality good overall good aircraft comfortable seating entertainment storage,0.9712,0.556,0.444,0.0
16,boeing super seat great lighting good flight entertainment system width seat really good legroom good really good cushioned seat pillow loved experience sat aisle seat accessibility seat good storage space,0.9821,0.582,0.418,0.0
17,travelled mumbai hkg stopover change flight delhi mumbai delhi aircraft narrow body delayed hr due late availability captain made rush delhi catch connecting flight boeing pleasant surprise especially leg room economy best across date lcd panel ife beautifully designed order impede viewing person front reclines,0.9081,0.241,0.725,0.034
18,air india airline use configuration great result space le crowd seat decent legroom problem seat sometimes dirty ife mostly work content good anyway,0.34,0.222,0.601,0.177
19,seat dirty torn inflight entertainment food served disgrace eaten anyone near pocket magazine etc facing torn away hanging thread plane hour half late never apology explanation accept way finally crew surly disinterested impolite,-0.8815,0.064,0.57,0.366
20,bulkhead seat right behind business class cabin seat recline ok legroom good seat width however horrible first reduced due tray table armrest top remote entertainment console placed armrest holder poke inch seat uncomfortable get seat nearly impossible reposition without getting slightly heavier side better people feel comfortable inch seat width entertainment screen folded swiveling arm fold behind foot quite hard move position joint hard amazingly joint supposed holed screen upright super smooth initial deployment screen started watching something leg crossed screen fell swiveled horizontal axis bottom side screen hit shin quite hard rest flight rubbing shin keeping blanket folded many time leg prevent injury due screen forgot mention control remote poking thigh function seat least seat around issue thankfully touchscreen menu personal screen working enabled watch movie much system response sluggish music browse menu quite user unfriendly use satisfactorily,0.8548,0.171,0.713,0.116
21,personal monitor service wife way way back monitor front screen cracked working seated exit row could see front main screen fuzzy working intermittently,0.0,0.0,1.0,0.0
22,relatively new lr seat comfortable flight towards hour flight got little stiff recline ok another inch recline would great tall found legroom adequate great adequate aisle seat would best bet tall people middle window seat footspace taken away box mounted beneath seat front passenger,0.9658,0.367,0.633,0.0
23,low cost airline everything extra chose pay exit seat best ever spent much leg room,0.4019,0.213,0.609,0.178
24,seat great place spend two flight took across country boston seattle connection minneapolis legroom pretty great compared u airline flown recently seat width comfortable average sized person pretty blown away underseat storage managed cram full duffle bag underneath still room either side foot spread ife wifi anything like cabin bring something read music fine go would recommend seat,0.9741,0.335,0.665,0.0
25,new seat configuration brilliant suite type seat close excellent privacy seat really spacious an comfy weakness china eastern food level airline even menu starter main course flight,0.6908,0.219,0.7,0.082
26,china eastern business class come configuration business class seat feature turn suite rather seat cabin similar china eastern new business class feature seat total direct aisle access entertainment system responsive screen offer usb power outlet remote control operate seat ife,0.6486,0.122,0.878,0.0
27,headphone provided flight tokyo xian via shanghai seat front kept reclining back toward even passenger intentionally pointed female cabin attendant said nothing least could taken note seat would need fixed,0.0,0.0,1.0,0.0
28,seat boeing seemed new clean like aisle seat chose pleasantly surprised sitting next standard economy seat legroom adequate beside could stretch ife reasonable selection little difficult work food standard airline fare reasonable first hour seat started feel little hard get walk around several time legroom adequate expected economy temperature little warmer like bearable overall standard economy seat long flight expected,0.92,0.257,0.697,0.046
29,told china eastern airline disabled double total hip replacement m trip amsterdam bkk enough legspace spasm narrow seat am checked aisle seat ok however way back bkk am asked polite attendant could place forward leg said stay seat couple hour wanted go sleep bit unlucky given seat emercency exit chair placed sleeping position hour straight flying fridge uncomfortable took couple day recover flown many company low segment airline friendly staff case terrible place,-0.128,0.09,0.814,0.096
30,angeles seoul via shanghai boeing clean looked new flight maybe full extra space many row aisle seat empty seat next extra room seat long haul hour start feeling little hard leg room would expect economy ife adequate food reasonably good airline food drink offered flight downside flight attendant think ever saw smile best thing flight price stopover another story stay airport pay room airport,0.8858,0.207,0.71,0.083
31,prague tokyo via shanghai really satisfied service board entertainment food crew everything good comparable european american airline read really bad review flight reality different recommend everyone thing understand mobile phone allowed whole flight chinese law,0.7579,0.25,0.665,0.084
32,flight chendu bangkok check slow competent terminal older terminal departure area modernized flight operated interior blue white scheme cabin immaculate seat pitch comfort good cerw looked professional greeted u english service included two drink offer hot meal eat choice comment meal,0.8316,0.214,0.786,0.0
33,icn pvg lhr cdg pvg icn sat near lavatory make sound like crash people use lavatory overall service poor,-0.5106,0.103,0.658,0.239
34,flew china eastern march april time three week trip including roundtrip lax shanghai five trip within china including hong kong shanghai round trip shanghai beijing beijing xi xi chengdu airline batted percent three category none flight time food pretty bad even airplane food standard flight entertainment outdated physically unviewable recent american film shown great hour flight cut ending quick warn regarding turbulence flight attendant plentiful responsive best meal chinese breakfast yogurt fruit pork chicken dumpling drink frequently served beer wine available run quickly free economy hard alcohol economy,0.9337,0.201,0.72,0.079
35,ptv avod poor could watch main screen clip listen poor music,-0.7351,0.0,0.592,0.408
36,seat tui boeing good using time long short haul flew jamaica seat get bit cramped expected really time tv acceptable biggest job acceptable amount content recline pretty average overall tui economy seat average quality work great,0.9363,0.331,0.669,0.0
37,seat tui boeing good using time long short haul flew jamaica seat get bit cramped expected really time tv acceptable biggest job acceptable amount content recline pretty average overall tui economy seat average quality work great,0.9363,0.331,0.669,0.0
38,surprisingly good food short flight melbourne staff attentive super chirpy issue microphone working front plane fun watching deftly work around good humor recommended,0.9524,0.544,0.456,0.0
39,paid premium price fly virgin australia economy brisbane denpasar return july could flown malindo air jetstar ticket cheaper preferred virgin flight time big mistake use aircraft regional flight international flight enough legroom anyone five foot six tall force u taller people upgrade economy extra cost economy seat legroom standard economy international aircraft renamed virgin economy class sardine class economy cattle class anyone fly business class money sense none class value money send u email bid upgrade idea business class extra minimum cost seat reduced legroom economy seat ridiculous width fit economy seat front plane behind business class solution obvious row economy seat increase width economy seat back reduce revenue loss row economy seat happy customer economy economy seating configuration illegal,-0.2584,0.081,0.822,0.097
40,anything cm height trouble fit comfortably economy seat additionally partner seat recline work flight entertainment screen download app watch phone however place fit phone properly need hold hand hour wanna enjoy ife,0.9231,0.38,0.559,0.06
41,couple made feel special first premium economy trip brisbane lax return really appreciated fantastic friendly personal service real glassware cutlery cloth napkin hot cleansing towel treat seat wide comfortable plenty leg room trip busy quiet real pleasure feel cocooned personalised cabin told attendant change class pure premium economy justice food beverage quality terrific expected love food good pinot noir,0.989,0.435,0.565,0.0
42,sat window seat left side plane row recline much enough get flight sydney auckland overhead space enough aisle space service however somewhat took forever flight attendant service beverage,0.0,0.0,1.0,0.0
43,sans kid recent flight decided upgrade syd lax return ticket economy premium economy saver fare arriving premium economy check breeze line next business class window called u processed documentation priority boarding alongside business class passenger wonderful fa call introduce personally offered champagne juice water plane load dinner preference taken seat private retreat loved amongst first disembark lax seat wider comfy blanket pitch made journey delight larger ife screen amenity kit feeling reasonable indulgence first impression probably way people would justify u hour extension holiday smallish dedicated restroom mostly available throughout flight clean huge bonus return leg uneventful hated middle row four seat made sure booked next year flight well advance get window seat hesitate choose virgin australia premium economy newer seat configuration pitch something get excited,0.9828,0.26,0.698,0.041
44,brisbane dunedin looking forward week unfriendly irritable check agent changed already booked seat number chosen consideration without even telling u surprise shocked friend pay aud single kg bag checked scrunched three hour smallest narrowest miserable airline seat flight attendant got defensive huffy tactfully pointed adult passenger ignoring fasten seatbelt heavy turbulence seatbelt hanging isle basically implied concern watched people hit ceiling turbulence felt interest safety passenger say word unbelted passenger first experience virgin last already booked two flight please tell hour virgin australia flight bne lax day miserable first weigh lb admit remembering flying australia past shameful disappointment,-0.9045,0.127,0.655,0.219
45,sydney perth business class disappointed business class seatback entertainment available chair uncomfortable flight sydney perth usually experience flight would welcome change service standard expected shining light flew qantas return leg airline need lift game offer samsung tablet entertainment table space half flight silly aisle frequently venue intimate encounter done flight many time enjoyed immensely virgin dropped ball using boeing long journey uncomfortable seat without entertainment carry aboard occupy expected business class photo shoe stuffed toy came child window seat photo toy floor seat front landing stowed overhead locker safety,0.8491,0.176,0.736,0.088
46,seat reasonably comfortable sufficient leg room without putting knee seat front short flight test recline see far would go economy class seat sufficient room comfort short flight,0.7003,0.188,0.812,0.0
47,mel syd economy seat flight near full window seat good choice seat width wider welcome change feel compressed term seat area legroom downside however constriction left side wall tapered inwards shin toe headroom standing get cabin felt dated despite aircraft younger year came due visible crack plastic fitting well rather old looking mould seat front tv screen anywhere,0.7184,0.125,0.844,0.031
48,mel exit seat load leg room seat front comfort good feel hr flight armrest seem quite weak stay upright lay still exit seat recline pain plane full good stretch,0.204,0.214,0.619,0.167
49,lax bne premium economy seat comfortable ample leg room position leg rest really nice front row get cushion foot prefer leg rest row adjustable recline pretty generous feel crowded seat front seat width could bit wider room larger individual fill seat seat reclined foot leg rest top position almost way stretched found comfortable people side row great two seat felt like little area getting window seat pretty good vod system pretty good seat seat text chat feature game play passenger movie selection good provide noise canceling headphone worked well welcome drink menu meal attentive crew self service bar awesome always water juice beer wine rum soda available bag potato chip premium section restroom large clean welcome kit included eye cover blanket toothbrush sock etc impressed premium economy thought well worth hour flight,0.9958,0.368,0.632,0.0
50,syd lax return return flight seat found legroom recline australia superior others seat little thin firm backside kg noticed seat good width bloke next kept spreading much made difficult sleep properly,0.5994,0.173,0.759,0.068
51,long haul flight mel lax seat cushioning became intolerable everything placing pillow blanket bottom thigh regular position change walk around cabin use widest seat economy across pacific afford little comfort seat cushioning,0.2975,0.066,0.934,0.0
52,seat tui boeing good using time long short haul flew jamaica seat get bit cramped expected really time tv acceptable biggest job acceptable amount content recline pretty average overall tui economy seat average quality work great,0.9363,0.331,0.669,0.0
53,seat tui boeing good using time long short haul flew jamaica seat get bit cramped expected really time tv acceptable biggest job acceptable amount content recline pretty average overall tui economy seat average quality work great,0.9363,0.331,0.669,0.0
54,atr aircraft comfortable great legroom someone tall never issue considering fact turboprop atr recline really good,0.8908,0.449,0.551,0.0
55,first time new surprised comfortable seat good legroom stretch good recline even seat width good since thin easy toss turn without disturbing person next ife system back seat looking forward flying plane future best part eat recline push seat really hard unlike airline,0.9683,0.399,0.572,0.029
56,syd lax return business class flight time seat fully flat comfortable able sleep food service good asian airline standard price considered experience good ife limited layover nadi long,0.8166,0.266,0.68,0.054
57,older airbus aircraft issue hygiene good lot space leg cm ok need say space aircraft vueling brussels airline crew speaks fluently dutch french english try help question,0.7783,0.245,0.755,0.0
58,flown number time business class long haul short haul review long haul business class seat extremely positive seat true lie flat comfortable design business cabin quite intelligent choice truly individual seat neighbour lot space put stuff pleasant experience,0.9653,0.407,0.593,0.0
59,mix reserved seating took seat premium economy section well wasted normally paid seat without doubt hardest uncomfortable seat ever sat possibility sleep nine hour flight overnight poor choice avod worked help comfort enjoyment squab length short cushion thickness minimal big people felt le comfort seat outbound economy row something would purchasing unlikely event fly brussels airline,0.8553,0.249,0.662,0.089
60,economy class excellent leg space economy privilege economy unfortunately notice additional leg space better dining experience economy entertainment economy hot towel handout timing handing towel odd though glass champagne meal personally pay additional eur get better dining experience hot towel glass champagne,0.9201,0.335,0.558,0.106
61,grabbed promotional flight moscow good price deal hence opted buy legroom getting emergency exit seat brussels airline always convenient tall hubby nothing special expected leg room stretch hour flight additional fee reasonable,-0.2401,0.079,0.789,0.132
62,brussels airline thin seat comfortable look seat right next emergency exit plenty leg room,0.1779,0.184,0.67,0.145
63,london milan via brussels economy brussels airline possibly worst company ever flown flight london boarded time issue luggage left min late meaning lost onward connection milan cabin crew first asked passenger leave bulky hand luggage changing mind asking collect store seat hold full found particularly annoying cabin crew help passenger store luggage lady front helped three passenger sort luggage helped would left london time airplane seems ok although seat seemed outdated food water served plane lady sitting next booked food crew forgot serve,-0.3597,0.086,0.803,0.112
64,many year flying never sat uncomfortable seat airplane especially long haul route sitting upright meant head pushed forward headrest adjusting headroom height made difference although legroom good would rather le room knee comfortable sitting position average height build issue clearly seat design body although normally choose flight based simply cost ticket departure arrival time certainly think twice flying brussels airline,0.9097,0.197,0.803,0.0
65,seat economy nothing horrible theory may ok paper feel cramped little legroom backrest hard area stick make difficult lean properly back recline ok long someone behind reclining option fact traytable loose course help year travel experienced worse seat long time ago,0.2296,0.191,0.635,0.174
66,uncomfortable seat hardly recline,-0.3818,0.0,0.536,0.464
67,edelweiss air good seating comfort soft seat cushion sufficient legroom great pillow blanket good quality great ife system adjustable headrest seat usb port seat,0.9477,0.465,0.535,0.0
68,seat position window seat comfortable seat good space tv screen bit far,0.7351,0.383,0.617,0.0
