,Unnamed: 0,author_review_count,rating,title,date,location,body,Seat Type,Aircraft Type,Seat Layout,Date Flown,Type Of Traveller,Seat Legroom,Seat Recline,Seat Width,Aisle Space,Seat Storage,Recommended,airline_slug,airline,Viewing Tv Screen,Power Supply,Sleep Comfort,Sitting Comfort,Seat/bed Width,Seat/bed Length,Seat Privacy,cleaned_body,scores,pos_score,neu_score,neg_score,compound_score
0,0,0.0,0.3,"""seat was not comfortable""",2019-07-22,Malaysia,With their newer A320 aircraft leg room is awful and the seat was not comfortable at all. Seat maximization doesn't mean gave away even a little comfort for passenger..,Economy Class,A320,3x3,July 2019,Solo Leisure,0.2,0.2,0.2,0.4,0.6,no,airasia,AirAsia,,,,,,,,newer aircraft leg room awful seat comfortable seat maximization mean gave away even little comfort passenger,"{'neg': 0.139, 'neu': 0.604, 'pos': 0.256, 'compound': 0.3626}",0.256,0.604,0.139,0.3626
1,1,0.0,0.6,"""Check in was easy""",2019-04-06,Australia,Check in was easy and boarding I was in zone one (I think because I paid to check 20kg of luggage) so that was also good. Seats were together but I had two small people either side so it wasn't an issue. Plane left about 45 minutes late due to technical issues. Given the flight was only an hour this was pretty annoying for many people.,Economy Class,A320,3x3,April 2019,Solo Leisure,0.6,0.6,0.6,0.6,0.6,True,airasia,AirAsia,,,,,,,,check easy boarding zone think paid check kg luggage good seat together two small people either side issue plane left minute late due technical issue given flight hour pretty annoying many people,"{'neg': 0.068, 'neu': 0.705, 'pos': 0.227, 'compound': 0.743}",0.227,0.705,0.068,0.743
2,2,5.0,0.7,"""A solid experience""",2019-04-01,Australia,"A solid experience from start to finish, especially given the cheap ticket price. Checkin was easy, even though I made an error and had to go to checkin counter I was first in line and it was handled in seconds. I bought a “package” that covered my checked in luggage but also gave me a seat up front and priority boarding (Zone 1) was an unexpected bonus. Plane left and arrived on time. The seats were not exactly spacious but I was fortunate enough to have a seat between me and the lady in the aisle who slept the entire journey. Seats reclined enough to relax but not enough to be intrusive. I tried tapping the screen on the seat in front of me and then realised it was just a shiny advertisement. Duh! The cabin was covered with them. I did not bother with the food or drink (I never do with budget airlines) but it looked pretty standard fare and not unreasonably priced. Luggage came off reasonably quickly at Penang airport.",Economy Class,A320,3x3,March 2019,Solo Leisure,0.6,0.8,0.6,0.6,0.6,True,airasia,AirAsia,,,,,,,,solid experience start finish especially given cheap ticket price checkin easy even though made error go checkin counter first line handled second bought package covered checked luggage gave seat front priority boarding zone unexpected bonus plane left arrived time seat exactly spacious fortunate enough seat lady aisle slept entire journey seat reclined enough relax enough intrusive tried tapping screen seat front realised shiny advertisement duh cabin covered bother food drink never budget airline looked pretty standard fare unreasonably priced luggage came reasonably quickly penang airport,"{'neg': 0.051, 'neu': 0.777, 'pos': 0.172, 'compound': 0.8979}",0.172,0.777,0.051,0.8979
3,3,0.0,0.1,"""my 4yr old and I allocated different seats""",2018-01-14,Australia,"I discovered upon boarding that my four-year-old and I were allocated different seats, apart from each other. Although I bought our tickets at the same time, we were on the same booking reference and checked-in together but AirAsia split us up. I was shocked and tried to speak to the flight attendants and they were lovely enough, to say it was absurd to split families. They couldn’t do much as other passengers had already paid for selecting their seats and didn’t want to swap seats. My four-year-old was upset and crying as he wasn’t able to see me. He was seated separately all the time and I couldn't be with him on this long-planned father-son trip. I was just wondering what the implications for safety are, in the case of an emergency? Don’t you think a separately seated parent like myself, would ignore all evacuation procedures in desperate attempts to be with his child? Don’t you think that little children need to be in a seat adjacent to the seat of an accompanying family member? Seating apart from my four-year old left a bitter taste in my mouth and needless to say I am not at all happy with this situation.",Economy Class,A330-300,3x3x3,January 2018,Family Leisure,0.2,0.2,0.2,0.2,0.2,no,airasia,AirAsia,,,,,,,,discovered upon boarding four year old allocated different seat apart although bought ticket time booking reference checked together airasia split u shocked tried speak flight attendant lovely enough say absurd split family much passenger already paid selecting seat swap seat four year old upset cry able see seated separately time long planned father trip wondering implication safety case emergency think separately seated parent like would ignore evacuation procedure desperate attempt child think little child need seat adjacent seat accompanying family member seating apart four year old left bitter taste mouth needle say happy situation,"{'neg': 0.161, 'neu': 0.726, 'pos': 0.113, 'compound': -0.5267}",0.113,0.726,0.161,-0.5267
4,4,1.0,0.7,"""space between was relatively good""",2017-08-24,Indonesia,"I got 14A seat, near emergency exit door. So this should be different from the standard seat at the plane. The space between was relatively good, I got enough space for landing my leg. I did not try to recline because I did not want to disturb passenger behind. The seat pocket contained food menu, promotional material and safety instruction card. For low cost flight, this was good enough.",Economy Class,A320,3x3,August 2017,Solo Leisure,0.8,0.6,0.8,0.6,0.6,True,airasia,AirAsia,,,,,,,,got seat near emergency exit different standard seat plane space relatively good got enough space landing leg try recline disturb passenger behind seat pocket contained food menu promotional material safety instruction card low cost flight good enough,"{'neg': 0.157, 'neu': 0.66, 'pos': 0.183, 'compound': 0.296}",0.183,0.66,0.157,0.296
5,5,1.0,0.8,"""survivable for 2-3 hour flight """,2017-07-01,Indonesia,The A320 seat pitch is tight but it is still survivable for 2-3 hour flight the seat width is standard. I like the leather seat cover. Recline is standard. Well i have to consider that AirAsia is a low cost airline so I don't expect much but they deliver alot.,Economy Class,A320-200,3x3,June 2017,Family Leisure,0.6,0.8,1.0,1.0,0.8,True,airasia,AirAsia,,,,,,,,seat pitch tight still survivable hour flight seat width standard like leather seat cover recline standard well consider airasia low cost airline expect much deliver alot,"{'neg': 0.071, 'neu': 0.774, 'pos': 0.155, 'compound': 0.3612}",0.155,0.774,0.071,0.3612
6,6,0.0,0.4,"""space between seats poor""",2016-04-27,United States,"The seats themselves are not uncomfortable, the space between seats is poor. I'm only 5'8"", and I had a hard time sitting in those seats without my knees hitting the seat in front. There have been occasions where my wife and I were seated apart from each other (one flight I took had multiple people scrambling around trying to trade seats to sit next to their friends/loved ones). Of course, you can pay for pre-selecting your seats, as  with all budget airlines.",Economy Class,A320,3x3,April 2016,Couple Leisure,0.2,0.6,0.4,0.6,0.6,no,airasia,AirAsia,,,,,,,,seat uncomfortable space seat poor hard time sitting seat without knee hitting seat front occasion wife seated apart flight took multiple people scrambling around trying trade seat next friend loved one course pay pre selecting seat budget airline,"{'neg': 0.179, 'neu': 0.672, 'pos': 0.149, 'compound': 0.1531}",0.149,0.672,0.179,0.1531
7,7,0.0,0.4,"""space for legs is very small""",2016-03-06,Malaysia,"It is good to choose AirAsia when the flight is only less than 1 hour because the distance of the seat and the space for the legs is very small, I can only put my bag under the seat reluctantly and the legs cannot move or hard to straighten my legs throughout the journey if the flight is more than 2 hours. It is very inconvenient when the passengers who seat inside wanted to go to the toilet. It is hard to go out from the seat and need to annoy the passengers who are seated in the middle or near the walkway.",Economy Class,A320,3x3,February 2016,Solo Leisure,0.4,0.4,0.4,0.4,0.2,True,airasia,AirAsia,,,,,,,,good choose airasia flight le hour distance seat space leg small put bag seat reluctantly leg cannot move hard straighten leg throughout journey flight hour inconvenient passenger seat inside wanted go toilet hard go seat need annoy passenger seated middle near walkway,"{'neg': 0.139, 'neu': 0.747, 'pos': 0.114, 'compound': -0.2978}",0.114,0.747,0.139,-0.2978
8,8,0.0,0.7,"""pay extra for exit seat """,2015-12-02,Malaysia,"I was allocated seat 22D on AirAsia flight AK423/15NOV from Kuala to Banda Aceh. The seat is very tight for a tall person like me, but tolerable for a flight time of 75 minutes. For longer flights, I would definitely pay extra for the emergency exit seat for the privilege of extra comfort.",Economy Class,A320-200,3x3,November 2015,Solo Leisure,0.2,0.2,0.6,0.8,0.8,True,airasia,AirAsia,,,,,,,,allocated seat airasia flight ak nov kuala banda aceh seat tight tall person like tolerable flight time minute longer flight would definitely pay extra emergency exit seat privilege extra comfort,"{'neg': 0.105, 'neu': 0.628, 'pos': 0.267, 'compound': 0.7351}",0.267,0.628,0.105,0.7351
9,9,2.0,0.7,"""seats don't recline""",2015-11-10,Australia,"The seats don't recline, or if they do I didn't notice, which is great because I hate having someone tilt their seat back for the entire journey leaving me cramped between seats. The seats are basic with only a meal tray and studded with advertisements, which are at least colourful. I had sufficient legroom to be comfortable and the legroom seems to be much more than that provided on rival airline Jetstar. There was no power outlets and I'm not sure if there was a foot rest, if there was I didn't notice it, and the seats are just plastic covered with a bit of cloth for the head. The seat pocket is crammed with promotional material and a safety card.",Economy Class,A320,3x3,October 2015,Solo Leisure,0.8,0.2,0.6,0.6,0.6,True,airasia,AirAsia,,,,,,,,seat recline notice great hate someone tilt seat back entire journey leaving cramped seat seat basic meal tray studded advertisement least colourful sufficient legroom comfortable legroom seems much provided rival airline jetstar power outlet sure foot rest notice seat plastic covered bit cloth head seat pocket crammed promotional material safety card,"{'neg': 0.059, 'neu': 0.74, 'pos': 0.201, 'compound': 0.8316}",0.201,0.74,0.059,0.8316
