author_review_count,rating,title,date,location,body,Seat Type,Aircraft Type,Seat Layout,Date Flown,Type Of Traveller,Seat Legroom,Seat Recline,Seat Width,Aisle Space,Seat Storage,Recommended,airline_slug,airline,Viewing Tv Screen,Power Supply,Sleep Comfort,Sitting Comfort,Seat/bed Width,Seat/bed Length,Seat Privacy
0.0,0.3,"""seat was not comfortable""",2019-07-22,Malaysia,With their newer A320 aircraft leg room is awful and the seat was not comfortable at all. Seat maximization doesn't mean gave away even a little comfort for passenger..,Economy Class,A320,3x3,July 2019,Solo Leisure,0.2,0.2,0.2,0.4,0.6,no,airasia,AirAsia,,,,,,,
0.0,0.6,"""Check in was easy""",2019-04-06,Australia,Check in was easy and boarding I was in zone one (I think because I paid to check 20kg of luggage) so that was also good. Seats were together but I had two small people either side so it wasn't an issue. Plane left about 45 minutes late due to technical issues. Given the flight was only an hour this was pretty annoying for many people.,Economy Class,A320,3x3,April 2019,Solo Leisure,0.6,0.6,0.6,0.6,0.6,True,airasia,AirAsia,,,,,,,
5.0,0.7,"""A solid experience""",2019-04-01,Australia,"A solid experience from start to finish, especially given the cheap ticket price. Checkin was easy, even though I made an error and had to go to checkin counter I was first in line and it was handled in seconds. I bought a “package” that covered my checked in luggage but also gave me a seat up front and priority boarding (Zone 1) was an unexpected bonus. Plane left and arrived on time. The seats were not exactly spacious but I was fortunate enough to have a seat between me and the lady in the aisle who slept the entire journey. Seats reclined enough to relax but not enough to be intrusive. I tried tapping the screen on the seat in front of me and then realised it was just a shiny advertisement. Duh! The cabin was covered with them. I did not bother with the food or drink (I never do with budget airlines) but it looked pretty standard fare and not unreasonably priced. Luggage came off reasonably quickly at Penang airport.",Economy Class,A320,3x3,March 2019,Solo Leisure,0.6,0.8,0.6,0.6,0.6,True,airasia,AirAsia,,,,,,,
0.0,0.1,"""my 4yr old and I allocated different seats""",2018-01-14,Australia,"I discovered upon boarding that my four-year-old and I were allocated different seats, apart from each other. Although I bought our tickets at the same time, we were on the same booking reference and checked-in together but AirAsia split us up. I was shocked and tried to speak to the flight attendants and they were lovely enough, to say it was absurd to split families. They couldn’t do much as other passengers had already paid for selecting their seats and didn’t want to swap seats. My four-year-old was upset and crying as he wasn’t able to see me. He was seated separately all the time and I couldn't be with him on this long-planned father-son trip. I was just wondering what the implications for safety are, in the case of an emergency? Don’t you think a separately seated parent like myself, would ignore all evacuation procedures in desperate attempts to be with his child? Don’t you think that little children need to be in a seat adjacent to the seat of an accompanying family member? Seating apart from my four-year old left a bitter taste in my mouth and needless to say I am not at all happy with this situation.",Economy Class,A330-300,3x3x3,January 2018,Family Leisure,0.2,0.2,0.2,0.2,0.2,no,airasia,AirAsia,,,,,,,
1.0,0.7,"""space between was relatively good""",2017-08-24,Indonesia,"I got 14A seat, near emergency exit door. So this should be different from the standard seat at the plane. The space between was relatively good, I got enough space for landing my leg. I did not try to recline because I did not want to disturb passenger behind. The seat pocket contained food menu, promotional material and safety instruction card. For low cost flight, this was good enough.",Economy Class,A320,3x3,August 2017,Solo Leisure,0.8,0.6,0.8,0.6,0.6,True,airasia,AirAsia,,,,,,,
1.0,0.8,"""survivable for 2-3 hour flight """,2017-07-01,Indonesia,The A320 seat pitch is tight but it is still survivable for 2-3 hour flight the seat width is standard. I like the leather seat cover. Recline is standard. Well i have to consider that AirAsia is a low cost airline so I don't expect much but they deliver alot.,Economy Class,A320-200,3x3,June 2017,Family Leisure,0.6,0.8,1.0,1.0,0.8,True,airasia,AirAsia,,,,,,,
0.0,0.4,"""space between seats poor""",2016-04-27,United States,"The seats themselves are not uncomfortable, the space between seats is poor. I'm only 5'8"", and I had a hard time sitting in those seats without my knees hitting the seat in front. There have been occasions where my wife and I were seated apart from each other (one flight I took had multiple people scrambling around trying to trade seats to sit next to their friends/loved ones). Of course, you can pay for pre-selecting your seats, as  with all budget airlines.",Economy Class,A320,3x3,April 2016,Couple Leisure,0.2,0.6,0.4,0.6,0.6,no,airasia,AirAsia,,,,,,,
0.0,0.4,"""space for legs is very small""",2016-03-06,Malaysia,"It is good to choose AirAsia when the flight is only less than 1 hour because the distance of the seat and the space for the legs is very small, I can only put my bag under the seat reluctantly and the legs cannot move or hard to straighten my legs throughout the journey if the flight is more than 2 hours. It is very inconvenient when the passengers who seat inside wanted to go to the toilet. It is hard to go out from the seat and need to annoy the passengers who are seated in the middle or near the walkway.",Economy Class,A320,3x3,February 2016,Solo Leisure,0.4,0.4,0.4,0.4,0.2,True,airasia,AirAsia,,,,,,,
0.0,0.7,"""pay extra for exit seat """,2015-12-02,Malaysia,"I was allocated seat 22D on AirAsia flight AK423/15NOV from Kuala to Banda Aceh. The seat is very tight for a tall person like me, but tolerable for a flight time of 75 minutes. For longer flights, I would definitely pay extra for the emergency exit seat for the privilege of extra comfort.",Economy Class,A320-200,3x3,November 2015,Solo Leisure,0.2,0.2,0.6,0.8,0.8,True,airasia,AirAsia,,,,,,,
2.0,0.7,"""seats don't recline""",2015-11-10,Australia,"The seats don't recline, or if they do I didn't notice, which is great because I hate having someone tilt their seat back for the entire journey leaving me cramped between seats. The seats are basic with only a meal tray and studded with advertisements, which are at least colourful. I had sufficient legroom to be comfortable and the legroom seems to be much more than that provided on rival airline Jetstar. There was no power outlets and I'm not sure if there was a foot rest, if there was I didn't notice it, and the seats are just plastic covered with a bit of cloth for the head. The seat pocket is crammed with promotional material and a safety card.",Economy Class,A320,3x3,October 2015,Solo Leisure,0.8,0.2,0.6,0.6,0.6,True,airasia,AirAsia,,,,,,,
0.0,0.1,"""expected some comfort""",2015-07-23,United Kingdom,At 6 foot tall I am not that big by western standards. I expected some comfort but I couldn't find any. My seat didn't recline and I couldn't sleep because I had to stretch my legs into the aisle due to the legroom but didn't want my feet running over by the trolley. (Standard seat pitch on AirAsia is 28-29 inches for these short haul aircraft),Economy Class,A320,3x3,June 2015,Solo Leisure,0.2,0.2,0.4,0.4,0.4,no,airasia,AirAsia,,,,,,,
1.0,0.8,TUI Airways Seat Review by Noah Wesselby,2022-02-03,United Kingdom,"The seat on the TUI Boeing 787-9 is very good after using 4 times long and short haul, I flew 9:30 to Jamaica in 2019 and the seat did get a bit cramped but that’s expected really after that time. The TV is acceptable but is not the biggest but does the job with an acceptable amount of content. The recline was pretty average. Overall the TUI Economy 787 seat was just above average quality and works great",Economy Class,Boeing 787-9,3x3x3,October 2021,Family Leisure,1.0,0.8,0.8,0.8,0.8,True,kunming-airlines,Kunming Airlines,0.8,0.8,,,,,
